Compound,CAS,inchikey,CID,Pretty Name,LaTeX,Notes,Aroma,Chemical Family,Health,Group,RI Lab,RI Lit,Source
3-Furaldehyde,498-60-2,AZVSIHIBYRHSLB-UHFFFAOYSA-N,NA,3-Furaldehyde,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-Heptanone,106-35-4,NGAZZOYFWWSOGK-UHFFFAOYSA-N,7802,3-Heptanone,NA,NA,"fatty, fruity, green",Aliphatic Ketone,NA,8-9 min,886,NA,NA
3-Methyl-2(5H)-furanone,22122-36-7,VGHBEMPMIVEGJP-UHFFFAOYSA-N,30945,3-Methyl-2(5H)-furanone,NA,NA,NA,Oxygenated Heterocycle,NA,NA,NA,NA,NA
3-Methylacetophenone,585-74-0,BAYUSCHCCGXLAY-UHFFFAOYSA-N,NA,3-Methoxyacetophenone,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-Pentanone, 2,4-dimethyl-",565-80-0,HXVNBWAKAOHACI-UHFFFAOYSA-N,11271,Isobutyrone,NA,NA,acetone-like,Aliphatic ketone,NA,5-6 min,NA,794,NIST
"3,5-di-tert-Butyl-4-hydroxybenzaldehyde",1620-98-0,DOZRDZLFLOODMB-UHFFFAOYSA-N,NA,"3,5-Di-tert-butyl-4-hydroxybenzaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-Methylbiphenyl,644-08-6,ZZLCFHIKESPLTH-UHFFFAOYSA-N,NA,4-Methylbiphenyl,NA,NA,"floral, spicy, wintergreen, anise, waxy, mint",NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-11min,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 (DCSE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-Hydroxymethylfurfural,67-47-0,NOEGNKMFWQHSLB-UHFFFAOYSA-N,237332,5-Hydroxymethylfurfural,NA,NA,"caramel, cardboard, musty",Oxygenated heterocycle,NA,36-37min,NA,1230,NIST
"5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",3796-70-1,HNZUNIKWNYHEJJ-FMIVXFBMSA-N,1549778,Geranylacetone,NA,NA,"fresh, green, fruity, waxy, rose, woody, magnolia, tropical",Monoterpene Hydrocarbon,NA,NA,NA,1452,NIST
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-14min,NA,NA,NA
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-14min,NA,NA,NA
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-15min,NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 (DCSE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-16min,NA,NA,NA
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-17min,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-19min,NA,NA,NA
Acetylpyrrole<2->,1072-83-9,IGJQUJNPMOYEJY-UHFFFAOYSA-N,NA,2-Acetylpyrrole,NA,NA,"nutty, walnut, bread",NA,NA,NA,NA,1065,NIST
alpha-cyclocitral,432-24-6,ZVZRJSHOOULAGB-UHFFFAOYSA-N,NA,α-Cyclocitral,$\alpha$-Cyclocitral,NA,NA,NA,NA,NA,NA,1122.9,NIST
alpha-Muurolol,19435-97-3,LHYHMMRYTDARSZ-UHFFFAOYSA-N,NA,δ-Cadinol,$\delta$-Cadinol,NA,"herbal, honey",NA,NA,NA,NA,1640,NIST
alpha-Terpineol,98-55-5,WUOACPNHFRMFPN-UHFFFAOYSA-N,NA,α-Terpineol,$\alpha$-Terpineol,NA,"pine, terpene, lilac, citrus, woody, floral",NA,NA,NA,NA,1189,NIST
Amorphene<alpha->,20085-19-2,NA,NA,α-Amorphene,$\alpha$-Amorphene,NA,NA,NA,NA,NA,NA,1483,NIST
Anthracene,120-12-7,MWPLVEDNUUSJAV-UHFFFAOYSA-N,8418,Anthracene,NA,NA,NA,Hydrocarbon,NA,40-41min,NA,1775,NIST
"Benzaldehyde, 4-ethoxy-",10031-82-0,JRHHJNMASOIRDS-UHFFFAOYSA-N,NA,4-Ethoxybenzaldehyde,NA,NA,"sweet, spicy, floral, anistic",NA,NA,NA,NA,NA,NA
"Benzaldehyde, 4-methyl-",104-87-0,FXLOVSHXALFLKQ-UHFFFAOYSA-N,NA,p-Tolualdehyde,$p$-Tolualdehyde,NA,"fruity, cherry, phenolic",NA,NA,NA,NA,1079,NIST
"Benzenamine, 3-methyl-",108-44-1,JJYPMNFTHPTTDI-UHFFFAOYSA-N,7934,m-Toluidine,$m$-Toluidine,m-Toluidine,NA,Nitrogen,NA,24-25min,NA,1075,NIST
"Benzene, 1-ethyl-4-methyl-",622-96-8,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,NA,p-Ethyltoluene,$p$-Ethyltoluene,NA,NA,NA,NA,NA,NA,NA,NA
"Benzene, 1,2,3,5-tetramethyl-",527-53-7,BFIMMTCNYPIMRN-UHFFFAOYSA-N,NA,Isodurene,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benzene, 1,3,5-trimethyl-",108-67-8,AUHZEENZYGFFBQ-UHFFFAOYSA-N,NA,Mesitylene,NA,NA,NA,NA,NA,NA,NA,975,NIST
"Benzene, 2-ethyl-1,4-dimethyl-",1758-88-9,AXIUBBVSOWPLDA-UHFFFAOYSA-N,NA,2-Ethyl-p-xylene,2-Ethyl-$p$-xylene,NA,NA,NA,NA,NA,NA,NA,NA
"Benzene, 2-methoxy-4-methyl-1-(1-methylethyl)-",1076-56-8,LSQXNMXDFRRDSJ-UHFFFAOYSA-N,NA,2-Isopropyl-5-methyl-anisole,NA,NA,"woody, smoky, burnt",NA,NA,NA,NA,1234,NIST
Benzenecarboxylic acid,65-85-0,WPYMKLBDIGXBTP-UHFFFAOYSA-N,20144841,Benzoic acid,NA,Benzoic acid,"balsam, faint, urine",Acid,"antibacterial, antipyretic, antiseptic, expectorant",36-37min,NA,1162,NIST
"Benzenemethanol, ?,?-dimethyl-",617-94-7,BDCFWIDZNLCTMF-UHFFFAOYSA-N,12053,"α,α-Dimethylbenzyl alcohol","$\alpha$,$\alpha$-Dimethylbenzyl alcohol",NA,"green, sweet, earthy",Cyclic alcohol,NA,NA,NA,NA,NA
"Benzofuran, 2,3-dihydro-",496-16-2,IANQTJSKSUMEQM-UHFFFAOYSA-N,9223,Coumaran,NA,NA,NA,Oxygenated Heterocycle,NA,34-35min,NA,1219,NIST
"Benzoic acid, 2-ethylhexyl ester",5444-75-7,UADWUILHKRXHMM-UHFFFAOYSA-N,94310,2-Ethylhexyl benzoate,NA,2-Ethylhexyl benzoate,"mild, ethereal",Ester,NA,DCSE,NA,NA,NA
"Benzoic acid, 4-ethoxy-, ethyl ester",23676-09-7,NA,NA,Ethyl 4-ethoxybenzoate,NA,NA,NA,NA,NA,NA,NA,1537,NIST
Benzophenone,119-61-9,RWCCWEUUXYIKHB-UHFFFAOYSA-N,3102,Benzophenone,NA,NA,"fruity, metallic",Cyclic Ketone,NA,36-37min,NA,1626,Adams
Benzyl acetate,140-11-4,QUKGYYKBILRGFE-UHFFFAOYSA-N,NA,Benzyl acetate,NA,NA,"sweet, floral, fruity, jasmine, fresh",NA,NA,NA,NA,1165,NIST
Benzyl Benzoate,120-51-4,SESFRYSPDFLNCH-UHFFFAOYSA-N,2345,Benzyl benzoate,NA,NA,"sweet, balsam, oliy, herbal",Cyclic ester,NA,NA,NA,1762,NIST
Bergamal,106-72-9,YGFGZTXGYTUXBA-UHFFFAOYSA-N,61016,Bergamal,NA,2.6-dimethyl-5-heptenal/Melonal,"floral, fruity, sweet",Oxygenated Monoterpene,NA,DCSE,1053,NA,NA
"Bicyclo[3.1.1]heptan-2-one, 6,6-dimethyl-",24903-95-5,XZFDKWMYCUEKSS-UHFFFAOYSA-N,32735,Nopinone,NA,NA,NA,Oxygenated Monoterpene,NA,NA,NA,1120,NIST
"Bicyclo[3.1.1]heptan-3-one, 2,6,6-trimethyl-, (1-alpha,2-alpha,5-alpha)-",547-60-4,MQPHVIPKLRXGDJ-UHFFFAOYSA-N,NA,trans-Pinocamphone,NA,NA,spicy,NA,NA,NA,NA,1163,NIST
"Bicyclo[3.1.1]heptan-3-one, 2,6,6-trimethyl-, (1-alpha,2-beta,5-alpha)",15358-88-0,MQPHVIPKLRXGDJ-UHFFFAOYSA-N,11038,cis-Pinocamphone,NA,NA,NA,Oxygenated Monoterpene,NA,NA,NA,1172,NIST
Biphenyl,92-52-4,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,NA,Biphenyl,NA,NA,"pungent, rose, green, geranium",NA,NA,NA,NA,NA,NA
Borneol,507-70-0,DTGKSKDOIYIVQL-UHFFFAOYSA-N,NA,Borneol,NA,NA,"pine, woody, camphor, balsamic",NA,NA,NA,NA,1166,NIST
Bornylene,464-17-5,KUKRLSJNTMLPPK-UHFFFAOYSA-N,NA,Bornylene,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butyl acetate,123-86-4,DKPFZGUDAPQIHT-UHFFFAOYSA-N,NA,Butyl acetate,NA,NA,"ethereal, solvent, fruity, banana, pear",NA,NA,NA,NA,812,NIST
"Butyl aldoxime, 3-methyl-, anti",5775-74-6,JAUPRNSQRRCCRR-GQCTYLIASA-N,NA,3-methyl-anti-butyl-aldoxime,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butyl aldoxime, 3-methyl-, syn-",5780-40-5,JAUPRNSQRRCCRR-XQRVVYSFSA-N,NA,3-methyl-syn-butyl-aldoxime,NA,Not sure if syn/anti is exactly the same as cis/trans,NA,NA,NA,NA,NA,NA,NA
Butyl butanoate,109-21-7,XUPYJHCZDLZNFP-UHFFFAOYSA-N,NA,n-Butyl butyrate,NA,NA,"fruity, banana, pineapple, green, cherry, tropical",NA,NA,NA,NA,994,NIST
Butyl propanoate,590-01-2,BTMVHUNTONAYDX-UHFFFAOYSA-N,NA,n-Butyl propanoate,NA,NA,"earthy, sweet, weak rose",NA,NA,NA,NA,910,NIST
Cadalene,483-78-3,VMOJIHDTVZTGDO-UHFFFAOYSA-N,10225,Cadalene,NA,NA,NA,Sesquiterpene Hydrocarbon,NA,DCSE,NA,1678,Adams
Cadinene<gamma->,39029-41-9,YGPSJZOEDVAXAB-QMMMGPOBSA-N,NA,ɣ-Cadinene,$\gamma$-Cadinene,NA,woody,NA,NA,NA,NA,1511,NIST
Cadinol<alpha->,481-34-5,LHYHMMRYTDARSZ-BYNSBNAKSA-N,NA,α-Cadinol,$\alpha$-Cadinol,NA,"herbal, woody",NA,NA,NA,NA,1653,NIST
Calacorene<alpha->,21391-99-1,NA,NA,α-Calacorene,$\alpha$-Calacorene,NA,woody,NA,NA,NA,NA,1540,NIST
Calamenene<cis->,72937-55-4,NA,NA,cis-Calamenene,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camphor,464-48-2,DSSYKIVIOFKYAU-UHFFFAOYSA-N,2537,Camphor,NA,"1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one","camphor, herbal, medicinal, minty",Oxygenated Monoterpene,"analgesic, anti-acne, -spetic, cancer preventative, decongestant, fungicide, herbicide, inspect repellant, pesticide",17-18min,1145,NA,NA
Caprolactam,105-60-2,JBKVHLHDHHXQEQ-UHFFFAOYSA-N,NA,Caprolactam,NA,NA,spicy,NA,NA,NA,NA,NA,NA
Carene<delta-3->,13466-78-9,NA,NA,δ-3-Carene,$\delta$-3-Carene,NA,"sweet, citrus, terpenic, fir needle",NA,NA,NA,NA,1009,NIST
"Carvacrol, methyl ether",6379-73-3,YVLHTQPPMZOCOW-UHFFFAOYSA-N,NA,Carvacryl methyl ether,NA,NA,"herbal, spicy, leafy, citrus",NA,NA,NA,NA,1244,NIST
Carvone,2244-16-8,ULDHMXUKGWMISQ-UHFFFAOYSA-N,7439,Carvone,NA,NA,"anise, mint, caraway",Oxygenated Monoterpene,"antiseptic, cancer preventitve",22-23min,1245,NA,NA
Caryophyllene<E->,118-65-0,NPNUFJAVOOONJE-FLFDDASRSA-N,NA,(E)-Caryopyllene,$(E)$-Caryophyllene,NA,"woody, spicy",NA,NA,NA,NA,1404,NIST
Cedr-8-ene,469-61-4,IRAQOCYXUMOFCW-UHFFFAOYSA-N,NA,Cedrene,NA,NA,"woody, cedar, sweet, fresh",NA,NA,NA,NA,1406,NIST
Cedrol,77-53-2,SVURIXNDRWRAFU-UHFFFAOYSA-N,NA,Cedrol,NA,NA,"cedar, woody, sweet",NA,NA,NA,NA,1605.8,NIST
Coumarin,91-64-5,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,NA,Coumarin,NA,NA,"green, sweet",NA,NA,NA,NA,1432,NIST
Cresol<para->,106-44-5,IWDCLRJOBJJRNH-UHFFFAOYSA-N,NA,p-Cresol,$p$-Cresol,NA,"medicinal, phenolic, smoky",NA,NA,NA,NA,1085,NIST
Cumene,98-82-8,RWGFKTVRMDUZSP-UHFFFAOYSA-N,NA,Cumene,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuminaldehyde,122-03-2,WTWBUQJHJGUZCY-UHFFFAOYSA-N,NA,Cuminaldehyde,NA,NA,"spicy, cumin, green, herbal",NA,NA,NA,NA,1239,NIST
Cyclohexanone,108-94-1,JHIVVAPYMSGYDF-UHFFFAOYSA-N,7967,Cyclohexanone,NA,NA,"acetone, minty",Cyclic Ketone,NA,12-13min,892,895,NIST
"Cyclopentanone, 2-methyl-",1120-72-5,ZIXLDMFVRPABBX-UHFFFAOYSA-N,NA,2-Methyl-cyclopentanone,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cymene<para->,527-84-4,WWRCMNKATXZARA-UHFFFAOYSA-N,10703,p-Cymene,$\mathit{p}$-Cymene,NA,"citrus, terpene, woody",Monoterpene Hydrocarbon,"analgesic, Antibacterial, antiviral",NA,NA,1026,NIST
Cymenene<para->,1195-32-0,MMSLOZQEMPDGPI-UHFFFAOYSA-N,62385,p-Cymenene,$\mathit{p}$-Cymenene,"p,Œ±-Dimethylstyrene","phenolic, spicy, styrene, clove, musty",Hydrocarbon,NA,DCSE,NA,1089,Adams
Decanal,112-31-2,KSMVZQYAVGTKIV-UHFFFAOYSA-N,8175,Decanal,NA,15.83,"citrus, sweet, waxy",Aliphatic Aldehyde,NA,17-18min,1206,1204,NIST
"Decane, 2-methyl-",6975-98-0,CNPVJWYWYZMPDS-UHFFFAOYSA-N,NA,2-Methyldecane,NA,NA,NA,NA,NA,NA,NA,1076,NIST
"Decane, 4-methyl-",2847-72-5,DVWZNKLWPILULD-UHFFFAOYSA-N,NA,4-Methyldecane,NA,NA,NA,NA,NA,NA,NA,NA,NA
Decanone<2->,693-54-9,ZAJNGDIORYACQU-UHFFFAOYSA-N,12741,2-Decanone,NA,15.38,"fatty, orange, peach",Aliphatic Ketone,NA,17-18min,NA,1190,Adams
Diethyltoluamide,134-62-3,MMOXZBCLCQITDF-UHFFFAOYSA-N,NA,Diethyltoluamide (DEET),NA,NA,NA,NA,NA,NA,NA,NA,NA
Dihydroactinidiolide,17092-92-1,IMKHDCBNRDRUEB-UHFFFAOYSA-N,27209,Dihydroactinidiolide,NA,"4.4.7a-Trimethyl-5,6,7,7a-tetrahydro-4H-Benzofuran-2-one","red fruit, woody",Oxygenated Monoterpene,NA,34-35min,NA,1538,NIST
Dimethyl trisulfide,3658-80-8,YWHLKYXPLRWGSE-UHFFFAOYSA-N,NA,Dimethyl trisulfide,NA,NA,"sulfurous, cooked onion, savory, meaty",NA,NA,NA,NA,969,NIST
Dodecanal,112-54-9,HFJRKMMYBMWEAD-UHFFFAOYSA-N,8194,Dodecanal,NA,24.95 Lauric aldehyde,"citrus, floral, waxy, lilly",Aliphatic Aldehyde,NA,22-23min,1409,1405,NIST
Dodecanol<N->,112-53-8,LQZZUXJYWNFBMV-UHFFFAOYSA-N,8193,1-Dodecanol,NA,27.52,"waxy, fatty",Aliphatic Alcohol,NA,27-28min,1473,1460,NIST
Elemicin,487-11-6,BPLQKQKXWHCZSS-UHFFFAOYSA-N,NA,Elemicin,NA,NA,"spicy, floral",NA,NA,NA,NA,1559.6,NIST
"Ethanone, 1-(4-methylphenyl)-",122-00-9,GNKZMNRKLCTJAY-UHFFFAOYSA-N,NA,p-Methylacetophenone,$p$-Methylacetophenone,NA,"hawthorn, sweet mimosa, coumarin, cherry, almond, bitter",NA,NA,NA,NA,1183,NIST
Ethyl hexyl acetate<2->,103-09-3,YLYBTZIQSIBWLI-UHFFFAOYSA-N,NA,Octyl acetate,NA,NA,"earthy, herbal",NA,NA,NA,NA,NA,NA
Eucalyptol,470-82-6,WEEGYLXZBRQIMU-UHFFFAOYSA-N,2758,Eucalyptol,NA,"1,8-Cineole","eucalyptus, camphor, herbal",Oxygenated Monoterpene,"antiallergic, bacterial, bronchtic, inflammatory, septic, etc",9-10min,1032,1028,NIST
Eugenol,97-53-0,RRAFCDWBNXTKKO-UHFFFAOYSA-N,3314,Eugenol,NA,NA,"clove, honey, spciy, woody",Cyclic alcohol,"analgesic, antibacterial, -convulsant, etc",NA,NA,1358,NIST
Fenchol<endo->,14575-74-7,NA,NA,endo-Fenchol,NA,NA,camphor,NA,NA,NA,NA,1117,NIST
Fenchone,1195-79-5,LHXDLQBQYFFVNW-UHFFFAOYSA-N,NA,Fenchone,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fluorene,86-73-7,NIHNNTQXNPWCJQ-UHFFFAOYSA-N,NA,Fluorene,NA,NA,NA,NA,NA,NA,NA,1583.4,NIST
"Formamide, N,N-diethyl-",617-84-5,SUAKHGWARZSWIH-UHFFFAOYSA-N,12051,"N,N-Diethylformamide",NA,NA,NA,Nitrogen,NA,15-16min,NA,NA,NA
gamm-Octanolactone,104-50-7,IPBFYZQJXZJBFQ-UHFFFAOYSA-N,NA,ɣ-Octalactone,$\gamma$-Octalactone,NA,"sweet, coconut, waxy, creamy, dairy",NA,NA,NA,NA,1260,NIST
gamma-Decanolactone,706-14-9,IFYYFLINQYPWGJ-UHFFFAOYSA-N,NA,ɣ-Decalactone,$\gamma$-Decalactone,NA,"fresh, oily, waxy, peach, coconut, buttery, sweet",NA,NA,NA,NA,1470,NIST
gamma-Nonalactone,104-61-0,OALYTRUKMRCXNH-UHFFFAOYSA-N,NA,ɣ-Nonalactone,$\gamma$-Nonalactone,NA,"coconut, creamy, waxy, sweet, buttery, oily",NA,NA,NA,NA,1360,NIST
gamma-Undecalatone,104-67-6,PHXATPHONSXBIL-UHFFFAOYSA-N,NA,ɣ-Undecalactone,$\gamma$-Undecalactone,NA,"fruity, peach, creamy, fatty, apricot, coconut",NA,NA,NA,NA,1573,NIST
gamma-Valerolactone,108-29-2,WRHZVMBBRYBTKZ-UHFFFAOYSA-N,NA,ɣ-Valerolactone,$\gamma$-Valerolactone,NA,"herbal, sweet, warm, tobacco, cocoa, woody",NA,NA,NA,NA,NA,NA
Geranial,5392-40-5,WTEVQBCEXWBHNA-JXMROGBWSA-N,638011,Citral,NA,NA,"citrus, lemon",Oxygenated monoterpene,"antibacterial, antiviral, antitumor",22-23min,1274,NA,NA
Geranic acid,459-80-3,ZHYZQXUYZJNEHD-VQHVLOKHSA-N,NA,Geranic acid,NA,NA,"dry, weedy, acidic, green, moldy, feet, woody",NA,NA,NA,NA,NA,NA
Geraniol,106-24-1,NA,NA,Geraniol,NA,NA,"sweet, floral, fruity, rose, waxy, citrus, geranium",NA,NA,NA,NA,1254,NIST
Geranyl formate,105-86-2,NA,NA,Geranyl formate,NA,NA,"fresh, rose, neroli, tea, rose, green",NA,NA,NA,NA,NA,NA
Geranylacetone,3879-26-3,HNZUNIKWNYHEJJ-XFXZXTDPSA-N,NA,Geranylacetone,NA,NA,"fatty, metalic",NA,NA,NA,NA,1445,NIST
Glycerin,56-81-5,PEDCQBHIVMGVHV-UHFFFAOYSA-N,NA,Glycerin,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heptalactone<gamma->,105-21-5,VLSVVMPLPMNWBH-UHFFFAOYSA-N,NA,ɣ-Heptalactone,$\gamma$-Heptalactone,NA,"sweet, coconut, nutty, caramel, hay",NA,NA,NA,NA,NA,NA
"Heptane, 2,4-dimethyl-",2213-23-2,AUKVIBNBLXQNIZ-UHFFFAOYSA-N,16656,"2,4-Dimethylheptane",NA,NA,NA,HYdrocarbon,NA,DCSE,NA,824,NIST
"Heptane, 3-methylene-",1632-16-2,XTVRLCUJHGUXCP-UHFFFAOYSA-N,NA,2-Ethylhexene,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heptanol<N->,111-70-6,BBMCTIGTTCKYKF-UHFFFAOYSA-N,8129,1-Heptanol,NA,6.63,"herbal, fruity, floral",Aliphatic alcohol,NA,16-17min,970,969,NIST
Heptanone<2->,110-43-0,CATSNJVOTSVZJV-UHFFFAOYSA-N,8051,2-Heptanone,NA,4.74,"fruity, sweet, waxy",Aliphatic Ketone,NA,9-10min,891,894,NIST
Hexenol<2Z->,928-94-9,NA,NA,(Z)-2-Hexenol,$(Z)$-2-Hexenol,NA,"leaf, green, wine, fruit",NA,NA,NA,NA,NA,NA
Hexenyl benzoate<2E->,76841-70-8,QFJRHTWDJOIOBT-UHFFFAOYSA-N,NA,(2E)-Hexenyl benzoate,$(2E)$-Hexenyl benzoate,NA,NA,NA,NA,NA,NA,NA,NA
Homomenthyl salicylate,52253-93-7,WSSJONWNBBTCMG-UHFFFAOYSA-N,8362,Homomenthyl salicylate,NA,NA,mild menthol,Ester,NA,NA,NA,NA,NA
Indene,95-13-6,YBYIRNPNPLQARY-UHFFFAOYSA-N,NA,Indene,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isoborneol,464-45-9,DTGKSKDOIYIVQL-UHFFFAOYSA-N,NA,Isoborneol,NA,NA,"pine, woody, camphor",NA,NA,NA,NA,1152,NIST
Isoeugenol,5932-68-3,BJIOGJUNALELMI-ONEGZZNKSA-N,NA,Isoeugenol,NA,NA,"sweet, spicy, carnation, phenolic, floral",NA,NA,NA,NA,1449,NIST
Isopentyl acetate,123-92-2,MLFHJEHSLIIPHL-UHFFFAOYSA-N,31276,Isoamyl acetate,NA,Isoamyl acetate,"banana, pear",Ester,NA,DCSE,875,876,NIST
Isopropyl hexadecanoate,142-91-6,XUGNVMKQXJXZCD-UHFFFAOYSA-N,NA,Isopropyl hexadecanoate,NA,NA,oily,NA,NA,NA,NA,1999,NIST
Isopropyl tetradecanoate,110-27-0,AXISYYRBXTVTFY-UHFFFAOYSA-N,8042,Isopropyl tetradecanoate,NA,Isopropyl Myristate,"fatty, oily",Ester,NA,DCSE,1826,1823,NIST
Lavender Lactone,1073-11-6,QESPSAHXYXIGBG-UHFFFAOYSA-N,NA,Lavender lactone,NA,NA,"fruity, minty",NA,NA,NA,NA,1041,NIST
Limonene,138-86-3,NA,22311,Limonene,NA,NA,"lemon, orange",Monoterpene Hydrocarbon,"anti bacterial, cancer, etc",9-10min,1029,1027,NIST
Linalool acetate,115-95-7,UWKAYLJWKGQEPM-UHFFFAOYSA-N,8294,Linalool acetate,NA,Linalyl acetate,"citrus, green, sweet",Oxygenated Monoterpene,"antioxidant, microbial, etc",DCSE,1255,1251,NIST
Linalool oxide<trans->(pyranoid),41720-62-1,BCTBAGTXFYWYMW-UHFFFAOYSA-N,NA,Linalool oxide pyranoside,NA,NA,NA,NA,NA,NA,NA,NA,NA
Longifolene,475-20-7,PDSNLYSELAIEBU-UHFFFAOYSA-N,NA,Longifolene,NA,NA,"sweet, woody, rose, medical, fir needle",NA,NA,NA,NA,1412,NIST
Maltol,118-71-8,XPCTZQVDEJYUGT-UHFFFAOYSA-N,8369,Maltol,NA,3-hydroxy-2-methyl-4-pyrone,"roasted marshmallow, bread, caramel, fruit",Oxygenated heterocycle,"anticonvulsant, fatigue, oxidant",27-28min,1110,1133,NIST
Menthol,1490-04-6,NOOLISFMXDJSKH-KXUCPTDWSA-N,16666,Menthol,NA,NA,peppermint,Oxygenated Monoterpene,NA,NA,NA,NA,NA
Menthyl lactate,59259-38-0,UJNOLBSYLSYIBM-UHFFFAOYSA-N,NA,Menthyl lactate,NA,NA,mild cooling,NA,NA,NA,NA,NA,NA
Methenamine,100-97-0,VKYKSIONXSXAKP-UHFFFAOYSA-N,4101,Methenamine,NA,NA,NA,Nitrogen,NA,26-27min,NA,1220,NIST
Methyl anthranilate,134-20-3,VAMXMNNIEUEQDV-UHFFFAOYSA-N,NA,Methyl anthranilate,NA,NA,"fruity, grape, orange flower, neroli, honey",NA,NA,NA,NA,1373,NIST
Methyl benzoate,93-58-3,QPJVMBTYPHYUOC-UHFFFAOYSA-N,NA,Methyl benzoate,NA,NA,"prune, lettuce, herbal, sweet",NA,NA,NA,NA,1091,NIST
Methyl jasmonate,1211-29-6,GEWDNTWNSAZUDX-WQMVXFAESA-N,NA,Methyl jasmonate,NA,NA,jasmine,NA,NA,NA,NA,NA,NA
Methyl pyruvate,600-22-6,CWKLZLBVOJRSOM-UHFFFAOYSA-N,NA,Methyl pyruvate,NA,NA,NA,NA,NA,NA,NA,NA,NA
Methyl salicylate,119-36-8,OSWPMRLSEDHDFF-UHFFFAOYSA-N,4133,Methyl salicylate,NA,NA,wintergreen,Oxygenated heterocycle,"antiinflammatory, oxidant, septic",23-24min,1198,1193,NIST
Murrolol<epi-alpha-> (=tau-muurolol),19912-62-0,LHYHMMRYTDARSZ-AJNGGQMLSA-N,NA,τ-Muurolol,$\tau$-Muurolol,NA,"herbal, spicy, honey",NA,NA,NA,NA,1641,NIST
Naphthalene,91-20-3,UFWIBTONFRDIAS-UHFFFAOYSA-N,931,Naphthalene,NA,NA,"tar, mothballs",Hydrocarbon,NA,22-23min,NA,1186,Phys Chem
"Naphthalene, 1-methyl-",90-12-0,QPUYECUOLPXSFR-UHFFFAOYSA-N,7002,1-Methylnaphthalene,NA,NA,"camphor, medicinal",Hydrocarbon,NA,25-26min,1312,1299.1,NIST
"Naphthalene, 2-methyl-",91-57-6,QIMMUPPBPVKWKM-UHFFFAOYSA-N,7055,2-Methylnaphthalene,NA,NA,"sweet, floral, woody",Hydrocarbon,NA,24-25min,NA,1299,NIST
"Naphthalene, 2,6-dimethyl-",581-42-0,YGYNBBAUIYTWBF-UHFFFAOYSA-N,NA,"2,6-Dimethylnaphthalene",NA,NA,grass,NA,NA,NA,NA,NA,NA
Nerol,106-25-2,NA,NA,Nerol,NA,NA,sweet,NA,NA,NA,NA,1229,NIST
Nerolidol<E->,142-50-7,FQTLCLSUCSAZDY-SDNWHVSQSA-N,NA,Nerolidol,NA,NA,mild floral,NA,NA,NA,NA,1531,NIST
