Compound,CAS,inchikey,CID,Pretty Name,LaTeX,Notes,Aroma,Chemical Family,Health,Group,RI Lab,RI Lit,Source
Butanoic acid<2-methyl->,116-53-0,WLAMNBDJUVNPJU-UHFFFAOYSA-N,NA,2-methyl-Butanoic acid,NA,NA,"cheese, sweat",NA,NA,NA,NA,846,NIST
Butylated Hydroxytoluene,128-37-0,NA,NA,Butylated hydroxytoluene,NA,NA,"phenolic, camphor",NA,NA,NA,NA,1533.3,NIST
Butyrolactone,96-48-0,YEJRWHAVMIAJKC-UHFFFAOYSA-N,7302,ɣ-Butyrolactone,$\gamma$-Butyrolactone,Hydroxybutanoic acid lactone<4->,"caramel, fatty, sweet",Oxygenated Heterocycle,NA,20-21min,NA,904,Adams
Cadinene<delta->,483-76-1,YUSHFLBKQQILNV-UHFFFAOYSA-N,NA,δ-Cadinene,$\delta$-Cadinene,NA,"thyme, medicine, wood",NA,NA,NA,NA,1521,NIST
cis-3-Hexenyl isovalerate,35154-45-1,NA,NA,cis-3-Hexenyl isovalerate,NA,NA,"fresh, green, apple, fruity, tropical, pineapple, dirty",NA,NA,NA,NA,1238,NIST
cis-Linalool oxide (furanoid),5989-33-3,BRHDDEIRQPDPMG-UHFFFAOYSA-N,NA,cis-Linalool oxide (furanoid),NA,NA,"earthy, floral, sweet, woody",NA,NA,NA,NA,1075,NIST
"Cyclohexanone, 3,3,5-trimethyl-",873-94-9,POSWICCRDBKBMH-UHFFFAOYSA-N,13398,Dihydroisophorone,NA,Dihydroisophorone,NA,Cyclic Ketone,NA,14-15min,NA,NA,NA
Cyclopentanone,120-92-3,BGTOWKSIORTVQH-UHFFFAOYSA-N,8452,Cyclopentanone,NA,Cyclopentanone,minty,Cyclic Ketone,NA,9-10min,NA,NA,NA
Dodecanoic acid,143-07-7,POULHZVOKOAJMA-UHFFFAOYSA-N,NA,Dodecanoic acid,NA,NA,"mild, fatty, coconut, bay oil, metal",NA,NA,NA,NA,1570,NIST
"Ethanol, 2-phenoxy-",122-99-6,QCDWFXQBSFUVSP-UHFFFAOYSA-N,31236,2-Phenoxyethanol,NA,Rose ether,"rose, balsam, cinnamon, floral, phenolic",Cyclic alcohol,NA,30-31min,NA,1221,NIST
Ethyl hexanoic acid<2->,149-57-5,WWZKQHOCKIZLMA-UHFFFAOYSA-N,379,2-Ethylhexanoic acid,NA,12.3,NA,Acid,NA,27-28min,1124,1116.7,NIST
Ethylbenzene,100-41-4,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,7500,Phenylethane,NA,NA,NA,Hydrocarbon,NA,7-8min,859,868,NIST
"Farnesene<(E,E)-alpha->",502-61-4,CXENHBSYCFFKJS-VDQVFBMKSA-N,NA,"(E,E)-α-Farnesene","($\mathit{E,E}$)-$\alpha$-Farnesene",NA,"woody, sweet, green, floral",NA,NA,NA,NA,1506,NIST
Fokienol,33440-00-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Formamide, N,N-dibutyl-",761-65-9,NZMAJUHVSZBJHL-UHFFFAOYSA-N,12975,"N,N-Dibutylformamide",NA,NA,NA,Nitrogen,NA,NA,NA,NA,NA
Furfural,98-01-1,HYBBIBNJHNGZAN-UHFFFAOYSA-N,7362,Furfural,NA,NA,"almond, bread, sweet",Oxygenated heterocycle,NA,16-17min,832,830,NIST
Heptanal,111-71-7,FXHGMKSSBGDXIY-UHFFFAOYSA-N,8130,Heptanal,NA,4.98,"fatty, green, rancid",Aliphatic Aldehyde,NA,9-10min,902,904,NIST
Heptanoic acid,111-14-8,MNWFXJYAOYHMED-UHFFFAOYSA-N,8094,Heptanoic acid,NA,NA,"cheesy, sour, rancid",Acid,NA,27-28min,1079,NA,NA
"Heptanol<2,6-dimethyl-2->",13254-34-7,HGDVHRITTGWMJK-UHFFFAOYSA-N,NA,"2,6-Dimethyl-2-heptanol",NA,Freesia heptanol,"fresh, floral, lavender, woody, citrus, herbal",NA,NA,NA,NA,NA,NA
Hepten-2-one<6-methyl-5->,110-93-0,NA,9862,6-Methyl-5-hepten-2-one,NA,7.25 Sulcatone,"green, musty, pepper, mushroom, rubber",Aliphatic Ketone,NA,13-14min,987,980,NIST
Hexadecanol<N->,36653-82-4,BXWNKGSJHAJOGX-UHFFFAOYSA-N,2682,1-Hexadecanol,NA,NA,"floral, waxy",Alcohol,NA,DCSE,1883,1879,NIST
Hexanal,66-25-1,JARKCYVAAOWBJS-UHFFFAOYSA-N,6184,Hexanal,NA,3.19,"green, fatty, fruity",Aliphatic Aldehyde,"antibacterial, salmonella, etc",7-8min,801,803,NIST
Hexanoic acid,142-62-1,FUZZWVXGSFPDMH-UHFFFAOYSA-N,8892,Hexanoic acid,NA,6.84,"cheesy, fatty",Acid,NA,24-25min,997,1008,NIST
Hexenol<2E->,928-95-0,ZCHHRLHTBGRGOT-SNAWJCMRSA-N,NA,(E)-2-Hexen-1-ol,($\mathit{E}$)-2-Hexen-1-ol,NA,"green, leaf, walnut",NA,NA,NA,NA,852,NIST
Hexenyl acetate<3Z->,3681-71-8,NA,5363388,(3Z)-Hexenyl acetate,(3$\mathit{Z}$)-Hexenyl acetate,NA,"green, fruity, sweet, banana",Ester,NA,DCSE,1005,NA,NA
Hexenyl hexenoate<3Z->,31501-11-8,NA,5352543,(3Z)-Hexenyl hexanoate,(3$\mathit{Z}$)-Hexenyl hexanoate,NA,"fruit, prune",Ester,NA,NA,NA,NA,NA
Indole,120-72-9,SIKJAQJRHWYJAI-UHFFFAOYSA-N,798,Indole,NA,NA,"concentrated = fecal, animal; dilute = sweet, floral",Nitrogen,"antibacterial, carcinogenic, etc",35-36min,1305,1290,NIST
Isovaleric acid,503-74-2,GWYFCOCPABKNJV-UHFFFAOYSA-N,10430,Isovaleric acid,NA,3.66,"sour, cheesy, rancid",Acid,NA,21-22min,849,834,NIST
Levoglucosenone,37112-31-5,HITOXZPZGPXYHY-UJURSFKZSA-N,699486,Levoglucosenone,NA,NA,NA,Oxygenated Heterocycle,NA,27-28min,NA,NA,NA
Linalool,78-70-6,CDOSHBSSFJOMGT-UHFFFAOYSA-N,NA,Linalool,NA,NA,"flower, lavender",NA,NA,NA,NA,1099,NIST
Linalool oxide<cis->(pyanoid),14009-71-3,BCTBAGTXFYWYMW-UHFFFAOYSA-N,NA,Linalool oxide pyranoside,NA,NA,"citrus, green",NA,NA,NA,NA,1175,NIST
Linalool oxide<dehydroxy-trans->,54750-70-8,XIGFNCYVSHOLIF-VHSXEESVSA-N,6429213,trans-Dehydroxylinalool oxide,NA,7.52 E-Herboxide,"herbal, green, terpene",Oxygenated Monoterpene,NA,9-10min,992,NA,NA
Methyl dihydrojasmonate<cis->,39647-11-5,KVWWIYGFBYDJQC-MNOVXSKESA-N,1738122,cis-Methyl dihydrojasmonate,$\mathit{cis}$-Methyl dihydrojasmonate,34.99,"jasmine, floral, green",Cyclic Ester,NA,33-34min,1655,NA,NA
Myrcene,123-35-3,UAHWPYUMFXYFJY-UHFFFAOYSA-N,NA,beta-Myrcene,$\beta$-Myrcene,NA,"balsamic, must, spice",NA,NA,NA,NA,990,NIST
n-Decanoic acid,334-48-5,GHVNFZFCNZKVNT-UHFFFAOYSA-N,2969,n-Decanoic acid,NA,NA,"fatty, sour, rancid",Acid,antibacterial,33-34min,1366,1380,NIST
n-Hexadecanoic acid,57-10-3,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,n-Hexadecanoic acid,NA,Palmitic acid,"fatty, waxy",Acid,NA,41-44min,1958,1975,NIST
