sample,cultivar,density_start,density_end,mean_percent_damage,twister_damage,No.,Compound,CAS,RPA,QVal,rt,ri,present
J1,J,0.7647058823529411,0.4117647058823529,0.1692404488485661,0.1625229378328783,96,22 (DCSE),NA,0.012437840992978488,99.4542083740234,3.59306666056322,765.3013057225005,TRUE
J1,J,0.7647058823529411,0.4117647058823529,0.1692404488485661,0.1625229378328783,103,Pentenol<2Z->,1576-95-0,6.876172652021824e-5,NA,0,NA,FALSE
J1,J,0.7647058823529411,0.4117647058823529,0.1692404488485661,0.1625229378328783,108,"Pentanal, 2-methyl-",123-15-9,0.0019810382338712102,92.8747253417969,3.91826655069995,780.8808652947267,TRUE
J1,J,0.7647058823529411,0.4117647058823529,0.1692404488485661,0.1625229378328783,112,"2-Butenal, 3-methyl-",107-86-8,6.876172652021824e-5,NA,0,NA,FALSE
J1,J,0.7647058823529411,0.4117647058823529,0.1692404488485661,0.1625229378328783,115,"Heptane, 3-methylene-",1632-16-2,6.876172652021824e-5,NA,0,NA,FALSE
J1,J,0.7647058823529411,0.4117647058823529,0.1692404488485661,0.1625229378328783,116,Butanoic acid,107-92-6,6.876172652021824e-5,NA,0,NA,FALSE
J1,J,0.7647058823529411,0.4117647058823529,0.1692404488485661,0.1625229378328783,117,2-Hexanone,591-78-6,0.010389917061252772,91.7589263916016,4.29518330891936,798.9380580138901,TRUE
J1,J,0.7647058823529411,0.4117647058823529,0.1692404488485661,0.1625229378328783,118,Cyclopentanone,120-92-3,0.0013050114972439526,96.2824478149414,4.15106658935555,792.0337659587663,TRUE
J1,J,0.7647058823529411,0.4117647058823529,0.1692404488485661,0.1625229378328783,119,"Propanoic acid, 2-methyl-",79-31-2,0.004598006918353899,94.8581008911133,4.2619166056316,797.3443287373356,TRUE
J1,J,0.7647058823529411,0.4117647058823529,0.1692404488485661,0.1625229378328783,120,"3-Pentanone, 2,4-dimethyl-",565-80-0,0.0037150872954049233,96.5160217285156,4.29518330891936,798.9380580138901,TRUE
J1,J,0.7647058823529411,0.4117647058823529,0.1692404488485661,0.1625229378328783,121,36,NA,6.876172652021824e-5,NA,0,NA,FALSE
J1,J,0.7647058823529411,0.4117647058823529,0.1692404488485661,0.1625229378328783,122,Methyl pyruvate,600-22-6,6.876172652021824e-5,NA,0,NA,FALSE
J1,J,0.7647058823529411,0.4117647058823529,0.1692404488485661,0.1625229378328783,124,"3-Penten-2-one, 4-methyl-",141-79-7,6.876172652021824e-5,NA,0,NA,FALSE
J1,J,0.7647058823529411,0.4117647058823529,0.1692404488485661,0.1625229378328783,125,Hexanal,66-25-1,0.007482454775243603,96.6639404296875,4.31366678873707,799.8235579284227,TRUE
