sample,cultivar,plant_num,mean_leaf_area_px,mean_percent_damage,n_leaves,twister_damage,density_treatment,density_start,density_end,Caffeine,Catechin,Catechin gallate,Epicatechin,Epicatechin gallate,Epigallocatechin,Epigallocatechin gallate,Gallic acid,Gallocatechin,Gallocatechin gallate,L-theanine,Paraxanthine,Theobromine,Theophylline
J24,J,24,223639.9090909091,0.13649669363372166,44,0.015026296018031557,1,0.9375,0.1875,39.80952380952381,0.6626190476190476,NA,8.300476190476191,14.120952380952382,16.316666666666666,68.87619047619049,NA,3.784904761904762,0.36091428571428574,4.763809523809524,0.4809047619047619,1.162095238095238,NA
J23,J,23,296012.97222222225,8.609636723125009,36,0.26413088014360137,0.5,0.5,0.16666666666666666,47.60193236714976,0.4028888888888889,NA,6.92512077294686,15.26328502415459,19.23381642512077,91.3768115942029,NA,2.792512077294686,0.13584057971014493,3.710193236714976,0.48787439613526573,1.271207729468599,NA
J22,J,22,299204.5882352941,0.10323387385147621,51,0.0430248581383174,0.25,0.20833333333333334,0.08333333333333333,34.161650485436894,0.42224757281553393,NA,9.9626213592233,13.374757281553396,18.933009708737863,64.98058252427184,NA,3.2952427184466018,0.3773398058252427,5.057281553398059,0.49024271844660194,0.7409708737864077,NA
J21,J,21,247096.50943396226,0.1340812476703629,53,0.12490399170786634,0,0,0.045454545454545456,33.90788177339901,0.39946798029556646,NA,7.5137931034482754,12.720689655172414,16.606896551724137,67.7192118226601,NA,3.640985221674877,0.5110837438423645,3.848669950738916,0.497487684729064,0.9254187192118227,NA
J20,J,20,246757.83783783784,0.10108897288823776,37,0.3075376290031641,0,0,0,35.543749999999996,0.24908653846153844,NA,7.660576923076923,14.773076923076921,15.019230769230768,72.3125,NA,2.095673076923077,0.4783028846153846,2.318173076923077,0.48552884615384617,0.5958653846153846,NA
J19,J,19,247991.8918918919,0.10639129792533887,37,0.00935809566821889,0.5,0.5,0.1875,33.40761904761904,NA,NA,8.431428571428572,13.609523809523811,17.102857142857143,73.41904761904762,NA,2.349857142857143,0.3500761904761905,1.1174285714285714,0.4809047619047619,0.45981428571428573,NA
J18,J,18,249389.0294117647,0.11633553003947804,34,0.23164631710578878,0.5,0.5263157894736842,0.10526315789473684,32.327053140096616,0.4901932367149759,NA,7.114492753623189,12.870531400966184,14.811594202898553,66.69082125603865,NA,3.0343961352657005,0.4945893719806763,1.9356038647342997,0.48787439613526573,1.0102898550724637,NA
J17,J,17,292132.26829268294,0.5314424072065345,41,0.0013732962543344662,0,0,0,32.03779904306221,0.481866028708134,NA,7.760287081339714,12.457416267942586,16.5377990430622,66.65071770334929,NA,3.6675598086124404,0.341976076555024,2.9497129186602873,0.4832057416267943,1.219665071770335,NA
J16,J,16,253521.38775510204,0.2457366178730911,49,0.36632301798339767,1,1,0.4,29.23398058252427,0.46636893203883495,NA,8.488349514563106,12.889805825242716,16.53883495145631,65.79611650485437,0.11827669902912621,3.627038834951456,0.37597087378640776,2.5762135922330094,0.49024271844660194,1.3833980582524272,NA
J15,J,15,271005.13157894736,0.061071050027524575,38,0.16155627493058838,1,1,0.14285714285714285,40.473891625615764,0.5417241379310345,NA,8.469950738916255,14.808866995073892,17.929064039408864,76.3103448275862,NA,3.764384236453202,0.43361083743842366,3.1572906403940886,0.497487684729064,1.747487684729064,NA
