sample,cultivar,plant_num,leaf,background,damaged,undamaged,leaf_area_px,percent_damage
J11,J,11,21a,577897,662,623931,624593,0.10598902004985647
J11,J,11,22a,126247,45,185333,185378,0.0242747251561674
J11,J,11,23a,319686,18,414048,414066,0.004347133065743142
J11,J,11,24a,180454,29,129680,129709,0.02235773924708386
J11,J,11,25a,147036,56,163071,163127,0.03432908102276141
J11,J,11,26a,276293,16,321729,321745,0.00497288225147244
J11,J,11,27a,410572,2994,636746,639740,0.4680026260668397
J11,J,11,28a,501628,83,685454,685537,0.01210729690738793
J11,J,11,29a,320226,252,177622,177874,0.14167331931592025
J11,J,11,3a,345700,317,574623,574940,0.05513618812397816
J11,J,11,30a,143102,355,55287,55642,0.6380072607023471
J11,J,11,31a,358108,73,632979,633052,0.011531438175694887
J11,J,11,32a,484850,19,298403,298422,0.006366822821373759
J11,J,11,33a,213234,175,285089,285264,0.06134668237141735
J11,J,11,34a,280398,331,217769,218100,0.15176524530032096
J11,J,11,35a,476954,434,568367,568801,0.07630085038528413
J11,J,11,36a,411806,74,320634,320708,0.023073948888085113
J11,J,11,37a,240724,18,144656,144674,0.012441765624783996
J11,J,11,38a,390421,119,372300,372419,0.03195325694983339
J11,J,11,39a,424034,17,244271,244288,0.006958999214042442
J11,J,11,4a,452839,1138,466663,467801,0.2432658331213486
J11,J,11,5a,469434,758,552937,553695,0.13689847298603022
J11,J,11,6a,303921,65,207356,207421,0.031337232006402434
J11,J,11,7a,345029,1105,392409,393514,0.2808032242817282
J11,J,11,8a,380795,137,194428,194565,0.07041348649551564
J11,J,11,9a,449200,541,379340,379881,0.14241301881378643
J11,J,11,T,601616,138,351924,352062,0.03919764132453943
J11,J,11,1b,345284,150,178006,178156,0.084195873279597655
J11,J,11,10b,298708,84,79208,79292,0.1059375472935479
J11,J,11,11b,212543,105,165352,165457,0.06346059701312123
J11,J,11,12b,508315,450,434975,435425,0.10334730435781134
J11,J,11,13b,231511,939,165596,166535,0.5638454378959378
J11,J,11,14b,366621,2720,377132,379852,0.716068363467877
J11,J,11,15b,690151,50,56272,56322,0.08877525656049146
J11,J,11,16b,140295,30,87553,87583,0.034253222657365016
J11,J,11,17b,258798,420,92350,92770,0.4527325644065969
J11,J,11,18b,462721,722,484197,484919,0.1488908456876303
J11,J,11,19b,282962,34,86226,86260,0.03941571991653142
J11,J,11,2b,184156,48,76916,76964,0.062366820851307105
J11,J,11,20b,271545,79,97598,97677,0.08087881486941655
J11,J,11,21b,284041,26,85155,85181,0.030523238750425563
J11,J,11,22b,314840,931,205893,206824,0.4501411828414497
J11,J,11,23b,420210,300,459690,459990,0.06521880910454575
J11,J,11,24b,224049,140,219921,220061,0.06361872389928247
J11,J,11,25b,251823,36,192251,192287,0.01872201448875899
J11,J,11,26b,484301,31,381819,381850,0.008118371088123608
J11,J,11,27b,276615,69,121892,121961,0.05657546264789564
J11,J,11,28b,370284,289,457523,457812,0.06312634880693385
J11,J,11,29b,407355,1000,636845,637845,0.15677790058713323
J11,J,11,3b,101930,20,68552,68572,0.029166423613136556
J11,J,11,30b,386437,110,217732,217842,0.05049531311684616
J11,J,11,31b,326336,61,277882,277943,0.021946945956545047
J11,J,11,32b,428695,46,412093,412139,0.011161282965213192
J11,J,11,4b,222388,555,177977,178532,0.31086863979566687
J11,J,11,5b,290336,698,269742,270440,0.2580979145096879
J11,J,11,6b,142943,285,56420,56705,0.5026011815536549
J11,J,11,7b,391447,43,214144,214187,0.02007591497149687
J11,J,11,8b,292204,252,353129,353381,0.07131113444129707
J11,J,11,9b,367420,79,188341,188420,0.04192760853412589
J12,J,12,1,302569,175,304256,304431,0.05748429036464749
J12,J,12,10,400254,426,481301,481727,0.08843182964625192
J12,J,12,11,192970,101,127804,127905,0.078964856729604
J12,J,12,12,411733,256,444389,444645,0.05757401972359972
J12,J,12,13,714559,19,141800,141819,0.013397358604982408
J12,J,12,14,519251,359,336768,337127,0.10648805939601395
J12,J,12,15,306896,261,155550,155811,0.16751063788821072
J12,J,12,16,287703,51,174953,175004,0.029142191035633473
J12,J,12,17,282212,92,311824,311916,0.029495120481155185
J12,J,12,18,421156,27,172945,172972,0.015609462803228268
J12,J,12,19,246503,172,97068,97240,0.17688194158782394
J12,J,12,2,346483,130,260387,260517,0.049900774229704785
J12,J,12,20,343152,24,225224,225248,0.010654922574229293
J12,J,12,21,413217,173,155010,155183,0.11148128338799998
J12,J,12,22,279575,351,288474,288825,0.12152687613606855
J12,J,12,23,440360,21,128019,128040,0.01640112464854733
J12,J,12,24,287377,109,280914,281023,0.03878686086192234
J12,J,12,25,449494,160,436618,436778,0.03663188164239042
J12,J,12,26,288443,140,311907,312047,0.04486503635670268
J12,J,12,27,229806,9,70849,70858,0.012701459256541252
J12,J,12,28,312839,712,197469,198181,0.3592675382604791
J12,J,12,29,346192,88,377488,377576,0.02330656609530267
J12,J,12,3,392396,638,213966,214604,0.2972917559784533
J12,J,12,30,319914,84,169264,169348,0.04960200297612018
J12,J,12,31,409807,5627,243696,249323,2.256911716929445
J12,J,12,32,577427,3394,78309,81703,4.1540702299793155
J12,J,12,33,329027,190,329913,330103,0.057557792567774296
J12,J,12,34,283207,692,414851,415543,0.1665290956651899
J12,J,12,35,253803,61,85174,85235,0.07156684460608906
J12,J,12,36,163055,122,234743,234865,0.05194473420901369
J12,J,12,4,181713,38,67305,67343,0.056427542580520615
J12,J,12,5,343905,170,214885,215055,0.07904954546511357
J12,J,12,6,389708,187,383270,383457,0.048766876077369826
J12,J,12,7,233302,32,130783,130815,0.024462026526010015
J12,J,12,8,275440,11,88666,88677,0.012404569392288869
J12,J,12,9,275691,99,88327,88426,0.11195802139642187
J13,J,13,1,617386,383,288081,288464,0.1327722003438904
J13,J,13,10,285360,85,178193,178278,0.047678345056597
J13,J,13,11,535426,1139,477570,478709,0.23793160354202658
J13,J,13,12,284871,16,220153,220169,0.00726714478423393
J13,J,13,13,340498,5,164537,164542,0.0030387378298549913
J13,J,13,14,383679,1133,459042,460175,0.24621068071929159
J13,J,13,15,500593,173,403986,404159,0.04280493568125416
J13,J,13,16,431828,231,277871,278102,0.08306304880942963
