sample,cultivar,plant_num,mean_leaf_area_px,mean_percent_damage,n_leaves,twister_damage,density_treatment,density_start,density_end,Caffeine,Catechin,Catechin gallate,Epicatechin,Epicatechin gallate,Epigallocatechin,Epigallocatechin gallate,Gallic acid,Gallocatechin,Gallocatechin gallate,L-theanine,Paraxanthine,Theobromine,Theophylline
Q20,Q,20,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0,18.48957345971564,0.2739336492890995,NA,6.028909952606634,11.978672985781989,9.850236966824644,45.27440758293838,0.07681990521327013,1.6311848341232227,0.30263981042654026,2.6768246445497628,0.4786255924170616,0.35797630331753555,NA
Q19,Q,19,233326.625,1.7313143152987192,16,4.205840556386874,1,1,0.6875,20.35480769230769,0.37655769230769226,NA,7.781730769230769,13.618749999999999,11.466826923076923,51.125,0.13409134615384616,2.2389903846153842,0.3912932692307692,1.4294711538461538,0.48552884615384617,0.35937499999999994,NA
Q18,Q,18,199352.73333333334,2.1599323490666933,15,1.7576880124206682,2,2,0.7333333333333333,15.30473933649289,0.21323696682464452,NA,5.733649289099525,11.623696682464454,9.721327014218009,48.59241706161137,0.05179620853080568,1.5806635071090045,0.42037914691943123,2.388341232227488,0.4786255924170616,0.25927962085308054,NA
Q17,Q,17,152969.4,5.087899321924421,10,8.540522884028293,1,1,0.6818181818181818,21.029207920792082,0.4523069306930693,NA,8.118811881188119,14.203960396039605,14.15693069306931,56.31683168316832,0.04060891089108911,2.4091089108910895,0.39444554455445546,2.2502970297029705,0.49995049504950495,0.3630049504950495,NA
Q16,Q,16,287036.0714285714,1.3494826997637033,14,5.752691776978646,0,0,0,19.989320388349512,0.45713106796116504,NA,8.456310679611649,12.963592233009708,13.633495145631068,53.194174757281544,NA,2.512766990291262,0.30294660194174755,3.0648543689320387,0.49024271844660194,0.3296116504854369,NA
Q15,Q,15,405769.3333333333,0.9521821777184877,6,1.2968795677225275,2,2,0.625,27.88009950248756,0.388910447761194,NA,9.085074626865671,14.429353233830843,14.602487562189053,62.24875621890547,0.1744278606965174,2.3756716417910444,0.4436069651741293,1.972139303482587,0.5024378109452736,0.3143084577114427,NA
Q14,Q,14,239493.66666666666,1.5724455759988494,15,1.0796095048410885,0.5,0.5,0.42857142857142855,28.44679802955665,0.3323891625615763,NA,7.7891625615763544,14.20935960591133,13.574384236453202,61.33497536945812,NA,1.918423645320197,0.4792068965517241,3.707832512315271,0.497487684729064,0.4819556650246305,0.007541871921182266
Q13,Q,13,215433.17647058822,4.240469480577142,17,20.97982921083628,1.5,1.5263157894736843,0.5789473684210527,11.082089552238806,0.648955223880597,NA,9.101492537313431,NA,17.244278606965175,50.64179104477611,NA,2.9391542288557213,0.35562686567164176,NA,0.5024378109452736,0.16950746268656713,0.08434328358208955
Q12,Q,12,209627.375,11.583233840162755,8,25.594319655902233,1,1,0.875,2.8688834951456306,0.3435679611650485,NA,5.651941747572815,5.731553398058252,10.193203883495144,31.081553398058247,0.07942718446601942,1.2372815533980581,0.16013106796116505,NA,0.49024271844660194,0.0699368932038835,NA
Q11,Q,11,275033.64285714284,1.1012433262806647,14,0.30335856816419204,0.5,0.5,0.3125,15.008695652173914,0.33869565217391306,NA,7.886473429951691,10.33671497584541,18.024637681159422,66.94685990338164,NA,2.8192270531400965,0.7160386473429952,0.2662898550724638,0.48787439613526573,0.43632850241545895,NA
Q10,Q,10,238889.125,2.3432238572962536,8,0.9025967115415314,1.5,1.5,0.125,11.51778846153846,0.4666201923076923,NA,6.769230769230769,7.4274038461538465,14.570673076923075,46.48413461538461,0.05339423076923077,3.2257211538461537,1.0665384615384617,NA,0.48552884615384617,0.11347596153846154,0.05266826923076923
Q9,Q,9,198261.875,2.0338396991147336,16,0.2586996259067252,0.5,0.5,0.25,20.740776699029123,0.442383495145631,NA,7.42378640776699,9.06504854368932,17.231553398058253,60.650485436893206,NA,3.227281553398058,0.4441165048543689,0.5064077669902912,0.49024271844660194,0.681747572815534,0.013276699029126213
Q8,Q,8,260752.33333333334,0.5655818642098884,12,0.3923326981280125,0.5,0.5,0.16666666666666666,12.10392156862745,0.3864460784313726,NA,7.790196078431372,8.830882352941178,17.91372549019608,60.23039215686275,NA,2.693186274509804,0.5472549019607843,0.0863235294117647,0.4950490196078432,0.4806078431372549,NA
Q7,Q,7,259698.6875,0.8653852337786354,16,0.2836119975826716,0,0,0,8.61400966183575,0.27171497584541066,NA,6.9338164251207735,9.351690821256039,15.456038647342995,59.18357487922705,NA,1.9394685990338165,0.39742028985507244,NA,0.48787439613526573,0.1258743961352657,NA
Q6,Q,6,260359.0909090909,1.000498919558615,11,0.659867399666932,1,1,0.5,10.398019801980197,0.5255940594059406,NA,9.089108910891088,8.844554455445545,17.736633663366337,58.7970297029703,NA,2.5104455445544556,0.5187128712871287,0.046589108910891096,0.49995049504950495,0.08664356435643565,NA
Q5,Q,5,250368.18181818182,5.246713258537785,11,0.3022481081915856,2,2,0.9230769230769231,11.507462686567164,0.5732835820895522,NA,9.165671641791043,9.525373134328358,15.962686567164178,54.32338308457712,NA,2.2586069651741294,0.2228059701492537,NA,0.5024378109452736,0.10827860696517412,NA
Q4,Q,4,280913.44444444444,7.1812498301267444,9,2.40019199426127,1.5,1.5714285714285714,1.1428571428571428,13.066829268292683,0.3826,NA,8.557560975609757,8.354146341463414,16.574634146341463,54.517073170731706,NA,2.6421951219512194,0.4189414634146342,NA,0.4926341463414634,0.14493658536585366,NA
