compound,sample,cultivar,plant_num,conc,mg_tea,conc_ug_mg,mean_leaf_area_px,mean_percent_damage,n_leaves,twister_damage,density_treatment,density_start,density_end
L-theanine,Q20,Q,20,56.481,21.1,2.6768246445497628,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0
Gallic acid,Q20,Q,20,1.6209,21.1,0.07681990521327013,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0
Gallocatechin,Q20,Q,20,34.418,21.1,1.6311848341232227,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0
Theobromine,Q20,Q,20,7.5533,21.1,0.35797630331753555,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0
Paraxanthine,Q20,Q,20,10.099,21.1,0.4786255924170616,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0
Theophylline,Q20,Q,20,NA,21.1,NA,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0
Catechin,Q20,Q,20,5.78,21.1,0.2739336492890995,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0
Epigallocatechin,Q20,Q,20,207.84,21.1,9.850236966824644,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0
Caffeine,Q20,Q,20,390.13,21.1,18.48957345971564,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0
Epigallocatechin gallate,Q20,Q,20,955.29,21.1,45.27440758293838,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0
Epicatechin,Q20,Q,20,127.21,21.1,6.028909952606634,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0
Gallocatechin gallate,Q20,Q,20,6.3857,21.1,0.30263981042654026,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0
Epicatechin gallate,Q20,Q,20,252.75,21.1,11.978672985781989,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0
Catechin gallate,Q20,Q,20,NA,21.1,NA,168116.84615384616,1.3643525379238703,13,0.5938476723145254,0,0,0
L-theanine,Q19,Q,19,29.733,20.8,1.4294711538461538,233326.625,1.7313143152987192,16,4.205840556386874,1,1,0.6875
Gallic acid,Q19,Q,19,2.7891,20.8,0.13409134615384616,233326.625,1.7313143152987192,16,4.205840556386874,1,1,0.6875
Gallocatechin,Q19,Q,19,46.571,20.8,2.2389903846153842,233326.625,1.7313143152987192,16,4.205840556386874,1,1,0.6875
Theobromine,Q19,Q,19,7.475,20.8,0.35937499999999994,233326.625,1.7313143152987192,16,4.205840556386874,1,1,0.6875
Paraxanthine,Q19,Q,19,10.099,20.8,0.48552884615384617,233326.625,1.7313143152987192,16,4.205840556386874,1,1,0.6875
Theophylline,Q19,Q,19,NA,20.8,NA,233326.625,1.7313143152987192,16,4.205840556386874,1,1,0.6875
Catechin,Q19,Q,19,7.8324,20.8,0.37655769230769226,233326.625,1.7313143152987192,16,4.205840556386874,1,1,0.6875
Epigallocatechin,Q19,Q,19,238.51,20.8,11.466826923076923,233326.625,1.7313143152987192,16,4.205840556386874,1,1,0.6875
Caffeine,Q19,Q,19,423.38,20.8,20.35480769230769,233326.625,1.7313143152987192,16,4.205840556386874,1,1,0.6875
Epigallocatechin gallate,Q19,Q,19,1063.4,20.8,51.125,233326.625,1.7313143152987192,16,4.205840556386874,1,1,0.6875
Epicatechin,Q19,Q,19,161.86,20.8,7.781730769230769,233326.625,1.7313143152987192,16,4.205840556386874,1,1,0.6875
