sample,cultivar,plant_num,leaf,background,damaged,undamaged,leaf_area_px,percent_damage
Q16,Q,16,9,361681,2291,380802,383093,0.5980271109104055
Q16,Q,16,T,263136,16301,267062,283363,5.752691776978646
Q17,Q,17,1,331956,4151,320911,325062,1.2769871593726734
Q17,Q,17,2,58096,1517,34627,36144,4.197100486941125
Q17,Q,17,3,115657,28390,62068,90458,31.384731035397646
Q17,Q,17,4,219889,5516,223043,228559,2.4133812276042508
Q17,Q,17,5,186295,631,127199,127830,0.49362434483298134
Q17,Q,17,6,118888,1608,146166,147774,1.0881481180721913
Q17,Q,17,7,188607,460,213253,213713,0.21524193661592883
Q17,Q,17,8,153074,638,138064,138702,0.45997894767198744
Q17,Q,17,9,180329,1148,140707,141855,0.8092770787071305
Q17,Q,17,T,156640,6798,72799,79597,8.540522884028293
Q18,Q,18,1,87152,2052,84871,86923,2.360710053725711
Q18,Q,18,10,422652,1944,266892,268836,0.7231174396286211
Q18,Q,18,11,224842,3252,192767,196019,1.6590228498257822
Q18,Q,18,12,239286,10115,242461,252576,4.004735208412518
Q18,Q,18,13,218643,3278,189704,192982,1.698604014882217
Q18,Q,18,14,315480,2223,150009,152232,1.4602711650638498
Q18,Q,18,2,89486,518,37063,37581,1.3783560841914797
Q18,Q,18,3,342584,24406,168105,192511,12.67771711746342
Q18,Q,18,4,228653,941,205016,205957,0.4568914870579781
Q18,Q,18,5,268082,471,260674,261145,0.18035957035363495
Q18,Q,18,6,175734,1394,166957,168351,0.8280319095223668
Q18,Q,18,7,346601,1732,133316,135048,1.2825069604881227
Q18,Q,18,8,385401,704,241483,242187,0.290684471090521
Q18,Q,18,9,246079,3786,227027,230813,1.640288891873508
Q18,Q,18,T,281716,6453,360677,367130,1.7576880124206682
Q19,Q,19,1,301948,7120,200264,207384,3.4332446090344484
Q19,Q,19,10,413537,1338,357282,358620,0.3730968713401372
Q19,Q,19,11,74789,834,102331,103165,0.8084137061988078
Q19,Q,19,12,94236,620,101050,101670,0.6098160716042097
Q19,Q,19,13,179766,423,208465,208888,0.2025008617057945
Q19,Q,19,14,131918,818,176195,177013,0.46211295215605636
Q19,Q,19,15,219218,2385,334559,336944,0.7078327555914335
Q19,Q,19,2,254560,13377,186266,199643,6.700460321674188
Q19,Q,19,3,95088,890,43316,44206,2.0133013618060898
Q19,Q,19,4,364577,938,289489,290427,0.322972726364973
Q19,Q,19,5,262149,1510,395467,396977,0.3803746816566199
Q19,Q,19,6,339092,1829,315127,316956,0.5770517043375106
Q19,Q,19,7,369139,1717,456649,458366,0.3745914836615281
Q19,Q,19,8,71070,3871,58815,62686,6.175222537727723
Q19,Q,19,9,299104,913,256854,257767,0.35419584353311323
Q19,Q,19,T,209292,8938,203576,212514,4.205840556386874
Q2,Q,2,1,363924,6164,210232,216396,2.8484814876430247
Q2,Q,2,10,190279,2386,65604,67990,3.5093396087659947
Q2,Q,2,2,312355,4717,282582,287299,1.6418435149443613
Q2,Q,2,3,288839,6497,172740,179237,3.624809609623013
Q2,Q,2,4,418508,3215,255352,258567,1.2433914614007202
Q2,Q,2,5,247863,3543,242731,246274,1.4386415131114125
Q2,Q,2,6,337563,52108,52025,104133,50.039852880450965
Q2,Q,2,7,332248,49340,66328,115668,42.65656880035965
Q2,Q,2,8,211867,18427,27975,46402,39.71165035989828
Q2,Q,2,9,219373,693,38203,38896,1.7816742081447963
Q2,Q,2,T,379518,4086,223196,227282,1.7977666511206345
Q20,Q,20,1,253310,2080,89050,91130,2.282453637660485
Q20,Q,20,10,337075,810,315974,316784,0.25569473205717463
Q20,Q,20,11,305950,1140,173012,174152,0.6546005788047223
Q20,Q,20,12,249155,3139,279489,282628,1.1106472111751136
Q20,Q,20,2,222530,2586,231098,233684,1.1066226185789356
Q20,Q,20,3,156706,556,89749,90305,0.6156912684790432
Q20,Q,20,4,107551,640,42931,43571,1.4688669068876088
Q20,Q,20,5,123656,2644,56834,59478,4.44534113453714
Q20,Q,20,6,213329,4278,188365,192643,2.220688008388574
Q20,Q,20,7,193279,769,40331,41100,1.8710462287104621
Q20,Q,20,8,257425,101,196536,196637,0.05136368028397505
Q20,Q,20,9,287301,2334,217913,220247,1.0597193151325557
Q20,Q,20,T,235493,1444,241716,243160,0.5938476723145254
Q4,Q,4,1,411314,2701,373385,376086,0.718186797700526
Q4,Q,4,2,371247,2698,295345,298043,0.9052385058531823
Q4,Q,4,3,55853,24181,19670,43851,55.143554308909714
Q4,Q,4,4,351519,1559,197668,199227,0.782524457026407
Q4,Q,4,5,544968,1678,389730,391408,0.42870866206107183
Q4,Q,4,6,482581,6680,358099,364779,1.8312457679855474
Q4,Q,4,7,398885,1232,273829,275061,0.44790064749273795
Q4,Q,4,8,278157,3959,196629,200588,1.97369732985024
Q4,Q,4,T,293181,9101,370077,379178,2.40019199426127
Q5,Q,5,1,413941,2522,405537,408059,0.6180478803310306
Q5,Q,5,10,193464,2250,193896,196146,1.1471047077177206
Q5,Q,5,11,107542,1318,123814,125132,1.053287728159064
Q5,Q,5,2,209593,305,156897,157202,0.19401788781313214
Q5,Q,5,3,429471,767,380511,381278,0.2011655537429382
Q5,Q,5,4,306348,1906,343490,345396,0.5518303628299112
Q5,Q,5,5,332220,28071,136065,164136,17.10228103523907
Q5,Q,5,6,183103,5917,119046,124963,4.735001560461897
Q5,Q,5,7,201043,45618,102354,147972,30.82880544967967
Q5,Q,5,8,170341,2455,248041,250496,0.9800555697496167
Q5,Q,5,T,337005,1370,451900,453270,0.3022481081915856
Q6,Q,6,1,171193,287,85572,85859,0.3342689758790575
Q6,Q,6,10,489290,1306,392754,394060,0.3314216109221946
Q6,Q,6,2,375452,6614,219471,226085,2.9254483933034034
Q6,Q,6,3,268121,2461,240842,243303,1.0114959536051755
Q6,Q,6,4,226584,1030,173070,174100,0.591614014933946
Q6,Q,6,5,220544,555,47911,48466,1.145132670325589
Q6,Q,6,6,203724,801,131091,131892,0.6073150759712492
Q6,Q,6,7,220427,4330,236522,240852,1.7977845315795593
