Compound,CAS,RI,RI_lab_lit,Source,density_rda_load,density_rda_corr,density_corr_pval,damage_rda_load,damage_rda_corr,damage_corr_pval
Nopinone,24903-95-5,1142.2882634836772,1120,NIST,-0.031001437201156563,0.004828006106467417,0.9848307960979251,-0.0630100313831916,-0.09104810616539598,0.7193705146574092
Butanoic acid,107-92-6,812.9762485377272,804,NIST,0.045211560541061506,0.3945521063562128,0.1051686306177558,-0.005179434780548894,0.150481592833144,0.5511650217950766
cis-3-Hexenyl butyrate,16491-36-4,1188.9671600954043,1186.4,NIST,-0.1848527134904468,-0.8171648099358755,3.475982237923778e-5,-0.18007777357445268,-0.6835911507740843,0.0017611049691490586
2-methyl-Butanoic acid,116-53-0,864.9937433041275,846,NIST,-0.05537210088274764,-0.021737287039630772,0.9317747300002808,0.007093968623685298,0.023467815730308705,0.9263566781205741
Butylated hydroxytoluene,128-37-0,1520.4094530395,1533.3,NIST,-0.09129774526714347,-0.4806498819218967,0.04347679285733323,-0.028061778517564025,-0.3180829616074247,0.1983205634020068
ɣ-Butyrolactone,96-48-0,925.5049899181078,904,Adams,0.09601718768234449,0.506844411502662,0.03181944268735328,-0.0040314400004947655,0.05133330545611965,0.8396931821836082
δ-Cadinene,483-76-1,1533.1344792810398,1521,NIST,-0.048445232840352896,-0.3648935491593906,0.13652154707052264,-6.616239351094398e-4,-0.23596411737510453,0.34586241555210706
ɣ-Cadinene,39029-41-9,1520.3188008525178,1511,NIST,-0.04421605978375877,-0.12146785379178192,0.631133709337828,-0.08929189357563837,-0.1823865023028097,0.468845531740534
Caprolactam,105-60-2,1259.0598532958777,NA,NA,0.05806160516110877,0.34671720288529734,0.1586676414900881,0.03723805747300003,0.27870504060354534,0.26274405557769004
(E)-Caryopyllene,118-65-0,1417.4894707077663,1404,NIST,0.059269286220091894,0.3546559051451144,0.14871259366198122,0.022524007865057018,0.27960660323273184,0.2611387103819643
Cedrene,469-61-4,1423.7217098521432,1406,NIST,0.059269286220091894,0.3546559051451144,0.14871259366198122,0.022524007865057018,0.27960660323273184,0.2611387103819643
Cedrol,77-53-2,1616.8910991999987,1605.8,NIST,0.059269286220091894,0.3546559051451144,0.14871259366198122,0.022524007865057018,0.27960660323273184,0.2611387103819643
cis-3-Hexenyl isovalerate,35154-45-1,1240.0010608066611,1238,NIST,-0.12297179616880548,-0.6446465799414398,0.0038747878049771984,-0.21304529408031847,-0.7840764010443898,1.175853129595553e-4
cis-Linalool oxide (furanoid),5989-33-3,1076.0433388877861,1075,NIST,-0.15847324670675486,-0.7125181466285779,9.061081538097035e-4,-0.11847192075018827,-0.5181866316567563,0.02759581309736383
Dihydroisophorone,873-94-9,1041.2506732909428,NA,NA,-0.019794968650274598,0.0053428597280332805,0.9832133728473365,-0.03313062806094727,-0.022754746215099392,0.928588842200717
Cyclopentanone,120-92-3,795.6856113996378,793,NIST,0.12459219333877118,0.47514440571296107,0.04629414306252217,0.10889621685382836,0.34309263274753204,0.1633606235695006
p-Cymenene,1195-32-0,1092.5492879205876,1089,Adams,-0.09393258513671814,-0.23411749009793098,0.34976035067403655,-0.007686474090837977,0.16238793690299735,0.5197128975627767
Decanal,112-31-2,1208.8074115327659,1206,standard,0.06312230376684176,0.5688452676890086,0.013756040008495313,0.0010753426214017898,0.07512817115647352,0.7670180417648625
Dodecanal,112-54-9,1412.1187110736207,1409,standard,0.0035754769207284975,0.3164478311981757,0.20076538763781215,-7.512935785130886e-4,0.15236846139462218,0.5461249030175747
Dodecanoic acid,143-07-7,1569.8197320275651,1570,NIST,-0.07255405027643233,-0.24737397578149958,0.32233672585169215,-0.1310694936238887,-0.44782666406617655,0.06236895392236938
1-Dodecanol,112-53-8,1477.632790600584,1473,standard,-0.04439797316742444,-0.020111528573531386,0.9368673659647866,0.0033897600704385984,0.012050291534094221,0.962149726863326
2-Phenoxyethanol,122-99-6,1226.9046182943364,1221,NIST,0.02398562820157167,0.21151720753400655,0.3994738676324363,0.057484430824075575,0.16739732807203336,0.506735228437782
Ethyl benzoate,93-89-0,1176.697615326415,1170,NIST,-0.04970966695930903,-0.256414595142105,0.304384138314939,-0.03910802914866428,-0.3154117805715925,0.20232470106819175
2-Ethylhexanoic acid,149-57-5,1124.337428124789,1124,standard,0.01638126778750621,0.24813812792155218,0.3207956744994495,-0.04327900537734833,0.0034981884003863046,0.9890086916007594
Phenylethane,100-41-4,862.5536111084825,859,standard,-0.05625678820300003,-0.16515910454968796,0.5125146501536941,-0.06942635271704749,-0.23081829299719123,0.3567867221783225
"(E,E)-α-Farnesene",502-61-4,1513.3057646153975,1506,NIST,-0.21570928751907026,-0.8137653028261376,3.982155859230506e-5,-0.024510599514045446,-0.1771837673902843,0.4818340599431391
Fokienol,33440-00-5,1602.466390576171,NA,NA,-0.08494925346239765,-0.380632741761056,0.11916515137623819,-0.0818008558428044,-0.2542900112666221,0.3085481083987992
"N,N-Dibutylformamide",761-65-9,1307.9330429244471,NA,NA,0.03915031241236889,0.11559560257172358,0.6478446473100201,-0.08966358445493257,-0.4630566799313839,0.052964099570743314
"N,N-Diethylformamide",617-84-5,947.1451659449685,NA,NA,0.059269286220091894,0.3546559051451144,0.14871259366198122,0.022524007865057018,0.27960660323273184,0.2611387103819643
Furfural,98-01-1,838.0072736284703,832,standard,-0.08229040677681654,-0.3054549377244848,0.21771639120292202,0.0347524343815744,0.0601512695388198,0.8125845808292691
ɣ-Nonalactone,104-61-0,1367.976315457677,1360,NIST,-0.12248417035008746,-0.5076100688408,0.03151950456584513,-0.12513673076695642,-0.5579530733175108,0.016119872222342534
Heptanal,111-71-7,904.2351548320224,902,standard,0.05907022516242776,0.3401930061793987,0.16718227869528846,-0.027915754604429518,-0.186080089661464,0.45973198121994974
Heptanoic acid,111-14-8,1082.8984136610284,1079,standard,0.10226097288330702,0.6211331596583611,0.005937525492816597,0.059103936932420977,0.34064913388145274,0.16657713122808
"2,6-Dimethyl-2-heptanol",13254-34-7,1002.0120132669828,NA,NA,0.04795880896589229,0.2679129801830629,0.2824368380070773,-0.11264585819311003,-0.37923143970504697,0.12064368002494284
1-Heptanol,111-70-6,973.0432103734754,970,standard,0.0486003441140867,0.43018513717279355,0.07475928484922516,0.031196242088784378,0.09090327285994701,0.7197998741158451
2-Heptanone,110-43-0,893.4851157304734,891,standard,0.09757142551604339,0.4293249505118566,0.07540653673890119,0.0024634298178149707,-0.05663907353013612,0.8233594008445285
Sulcatone,110-93-0,990.0021589754183,987,standard,-0.20154359511714606,-0.8036851336813579,5.868016980233492e-5,-0.06926358873592992,-0.25612118083963653,0.3049571868670578
1-Hexadecanol,36653-82-4,1883.5152672219645,1883,standard,-0.044603797557176236,-0.08896250109384841,0.7255609611902729,0.026192907661998326,0.04913320946503173,0.8464848761911057
Hexanal,66-25-1,802.9203450971295,801,standard,0.07213904520344895,0.3003859874065497,0.22583608832267132,-0.03901642716521475,-0.2890425749869896,0.2447047269631534
Hexanoic acid,142-62-1,990.398932205313,997,standard,0.08873808297320507,0.6151322829836036,0.006586181109573322,0.027561544642481717,0.21021759510638938,0.40244388000302245
(Z)-2-Hexenol,928-94-9,872.628062937025,NA,NA,-0.06089636743872872,-0.18311972967001036,0.46702922663956015,-0.17416638919197497,-0.6338567601156133,0.0047329039796079895
(E)-2-Hexenyl acetate,2497-18-9,1018.4275897458502,1015,NIST,-0.10559875744556908,-0.5915020787061647,0.009721118824326446,-0.07944425066095842,-0.46376304216636416,0.052555491359995786
(3Z)-Hexenyl acetate,3681-71-8,1009.6783437084754,1005,standard,-0.07570968793747175,-0.41973028186859945,0.08290828867242504,-0.013185985973611048,0.011897610108593464,0.9626289843407793
(3Z)-Hexenyl hexanoate,31501-11-8,1384.1560983587092,1379,NIST,-0.16856409753467896,-0.7697907471181945,1.869446423163062e-4,-0.19523671046365007,-0.8274211785941412,2.2669230436055612e-5
Homomenthyl salicylate,52253-93-7,1896.8235632713147,NA,NA,0.003791217711467995,0.35465590514511447,0.14871259366198114,0.0014407701357183008,0.27960660323273184,0.2611387103819643
Indole,120-72-9,1300.3784870909224,1305,standard,-0.14053386719519034,-0.6687804570514291,0.0024083249916300965,-0.09050024211479114,-0.5356266857848835,0.021966352803449555
Isopropyl hexadecanoate,142-91-6,2027.155322460528,1999,NIST,0.0027886443926546044,0.14278597703774598,0.571931934582535,0.017645313771958084,0.07525274499328252,0.7666418499337115
Isopropyl tetradecanoate,110-27-0,1828.4062850937607,1826,standard,-0.005856645842227455,-0.08228314062848849,0.745493999505676,-0.08674739844519591,-0.4379477393369999,0.06910207134242684
Isovaleric acid,503-74-2,856.5918061735251,849,standard,0.026371055106201764,0.2906206453659749,0.24202182062251806,0.1659992994773049,0.6336495825916418,0.004750780524360244
Levoglucosenone,37112-31-5,1118.1630389062339,NA,NA,-0.08919724289879134,-0.38617423522837924,0.11344372026948832,-0.11336367600217909,-0.3101572148100137,0.21035556890333634
Limonene,138-86-3,1031.1880422952702,1029,standard,-0.029750188913416912,-0.1610870358024242,0.5231082035653408,0.07168775627617127,0.24569974014134063,0.32572832853026334
Linalool,78-70-6,1102.4797223475111,1099,NIST,-0.11365710723168818,-0.47699677401467216,0.04533118338363892,0.03475059610559932,-0.01177589332084467,0.9630110544905441
cis-Linalool oxide (pyranoid),14009-71-3,1173.465121043978,1175,NIST,-0.17537057380439516,-0.7173187627734606,8.053821778836881e-4,-0.14905675195014428,-0.6164478943221788,0.00643927995655932
trans-Dehydroxylinalool oxide,54750-70-8,989.9740941121488,992,standard,-0.16721616090443098,-0.7411582976072206,4.3258103197571897e-4,-0.027802282060646867,-0.14607998561829394,0.563001922759776
Linalool oxide pyranoside,41720-62-1,1178.4492455070604,NA,NA,-0.059354162650258724,-0.21196857212177939,0.39844515352227705,-0.10908684749724422,-0.36487033027099985,0.1365483823962486
Longifolene,475-20-7,1417.534423484905,1412,NIST,0.059269286220091894,0.3546559051451144,0.14871259366198122,0.022524007865057018,0.27960660323273184,0.2611387103819643
Menthol,1490-04-6,1172.3246429029473,NA,NA,0.02735939791532576,0.14274565887167776,0.5720416117987505,0.16869963449882724,0.43906729189164784,0.06831310878326573
Methenamine,100-97-0,1234.200678780262,1220,NIST,-0.04200975324992563,-0.27415107968134506,0.270946707327214,-0.056546834540146945,-0.01237044191560381,0.9611448350436307
cis-Methyl dihydrojasmonate,39647-11-5,1660.63939400404,1655,standard,0.023883856345359444,0.06954549582503439,0.7839265109938841,0.1617493252495473,0.46877352356736535,0.049724932556502975
Methyl pyruvate,600-22-6,815.8141083810731,NA,NA,-0.0014492197786459167,-0.15633630245217875,0.5355940194721043,-0.03051402415395665,-0.23624801500970063,0.3452653775717145
Methyl salicylate,119-36-8,1199.2616299088927,1198,standard,-0.012896798582231826,-0.11372300584821061,0.65320792289515,-0.13985696872593778,-0.4763562138665549,0.0456624426864312
β-Myrcene,123-35-3,990.04189655598,990,NIST,-0.15437867384932855,-0.648402108909647,0.0036078376742128657,-0.06672321096050121,-0.2529583448694141,0.311175279813908
Decanoic acid,334-48-5,1370.5003313217621,1366,standard,-0.02654993734107829,0.08788085571038445,0.7287778898641937,-0.1465749637484929,-0.42086938020380166,0.0819902421684715
Hexadecanoic acid,57-10-3,1971.8488922596953,1958,standard,-0.0036962156169882965,0.15504881529443026,0.539000937933919,-0.02115127897156943,-0.21697961826836645,0.3871215263331629
Naphthalene,91-20-3,1187.9077757639407,1186,Phys Chem,-0.03401719559132711,-0.007660569404062441,0.9759330982642691,0.04353745908740292,0.051252978962961375,0.839940963470423
1-Nonanal,124-19-6,1106.7965766464197,1104,standard,0.02777326575438446,0.20874355404543726,0.4058269269832794,-0.10704077894510476,-0.44392971989308844,0.06496379598436303
Nonanoic acid,112-05-0,1276.9285960004706,1270,standard,0.04427167900794458,0.3360350291799144,0.1727674631764791,-0.09911120945754472,-0.32314616397124374,0.19087508160757435
o-Hydroxybiphenyl,90-43-7,1524.0252151448362,NA,NA,-0.04391012038791942,-0.15341302366482884,0.5433436161153216,-0.09738557779973502,-0.4889818835442908,0.039463736939802145
(E)-β-Ocimene,3379-61-1,1050.763629993134,1044,Adams,-0.19518110166448369,-0.7512263242618842,3.2612854485431154e-4,0.002210314424277031,-0.09678698854202843,0.7024230567276293
(Z)-β-Ocimene,3338-55-4,1039.8575634460826,1036,NIST,-0.14868196677230855,-0.6062343483907408,0.007652522546881437,0.08505941941735233,0.19926885509736303,0.4279345223423231
"(E,E)-Allo-ocimene",3016-19-1,1131.9966390085888,1143,NIST,-0.17514062247094092,-0.6839932379818335,0.0017457811458015929,0.038089011932446445,0.03524556738681137,0.8895755468196431
1-Octadecanol,112-92-5,2087.6799509625093,2077,Adams,0.009186914423473195,0.18023875264224493,0.4741860340820323,-0.09640087902440034,-0.2923164685427794,0.23915962039859867
n-Octanal,124-13-0,1005.5576522782186,1002,standard,0.0767295260278146,0.4295190238370037,0.07526014623780007,-0.060506549763677135,-0.3038731186980736,0.2202296039424628
4-Methyl-octane,2216-34-4,865.4169864263973,NA,NA,0.031471594158631315,0.13074674346018864,0.6050744575609915,0.07271745136985754,0.301999124391307,0.22323123280546203
Octanoic acid,124-07-2,1179.7468456974789,1174,standard,0.07878644711756352,0.48828231670998684,0.03978934425737338,-0.010415591789790169,0.1583784048974604,0.5302104323614159
1-Octen-3-ol,3391-86-4,982.1447241196698,978,standard,0.08607182070949142,0.4932988174355576,0.03749934895606411,-0.10548762066185353,-0.3152499420693058,0.20256899393719446
1-Octen-3-one,4312-99-6,981.022892935856,978,J Phys Chem,0.03679781541219353,0.2917876613317247,0.24004981573282885,-0.05935060793045665,-0.27326110297387696,0.2725680269025282
p-Xylene,106-42-3,870.5748057972648,867,standard,-0.11534724149990382,-0.4933761210277159,0.03746486988701757,0.032251560954329864,0.15891309345137428,0.5288049467744311
1-Nitropentane,628-05-7,903.759052317722,NA,NA,0.030022458653093567,0.14699088715752492,0.5605432501260763,-0.03910215559473102,-0.196976085721831,0.4333775816181271
Pentanoic acid,109-52-4,897.9450659334012,893,NIST,-0.01288357121574931,0.23196980991062321,0.3543252532694945,-0.013315710071274868,0.09216962232760355,0.7160484855317635
2-Pentyl furan,3777-69-3,994.4731011151445,984,Adams,0.02117544890455442,0.22671801013338241,0.3656300396330743,-0.09686171768200094,-0.3693761771743611,0.1314092730100695
Phenol,108-95-2,990.5576823046138,981,standard,0.04190752033070085,0.303047938331234,0.22154808180266514,-0.022726940298900298,-0.19220889924536183,0.44480967500622737
"2,4-Di-tert-butylphenol",96-76-4,1516.7935969746836,1513,NIST,-0.04392778859584837,-0.15447332104411202,0.5405269603385505,-0.11961388058073766,-0.32788946201512953,0.18407061518631132
p-tert-Butylphenol,98-54-4,1287.8952742045428,NA,NA,0.007525627773999245,-0.004562426409809427,0.9856651425673202,0.009612146130891128,-0.022012739009057827,0.930912130117305
Phenylethyl acetate,103-45-7,1262.0143222499428,1245,NIST,-0.03677043053752388,-0.3995499045750928,0.10044303518447013,-0.08102254637516319,-0.32893330856130215,0.18259522532075426
Phenethyl alcohol,60-12-8,1119.1134632020712,1109,NIST,-0.012629074202786344,-0.09309736750804179,0.7133040825556782,-0.2081986058663242,-0.7127353238346008,9.013350960948457e-4
α-Pinene,80-56-8,936.1134689746543,933,standard,-0.03288672054398266,-0.08979234753344244,0.7230958661832931,-0.03857834864538008,-0.0062888045998887,0.9802418342820265
Isobutyric acid,79-31-2,794.9037886863881,785,NIST,0.051191742327454305,0.20028773765248814,0.4255272685415208,0.026698041311569845,-0.0018856795350149199,0.9940750746426958
"(3-hydroxy-2,4,4-trimethylpentyl) 2-methylpropanoate",74367-34-3,1379.8585224687824,1387,NIST,-0.0949918167687471,-0.3921384460301101,0.10750692492531527,-0.12220118614052075,-0.5792947706777516,0.01175593820804445
2-Ethylhexyl-salicylate,118-60-5,1814.651498023985,1811,standard,-0.0030840937567919607,-0.05050089337517946,0.8422615963373015,0.003834298849387812,0.1562363593973855,0.5358581353768901
Styrene,100-42-5,894.2920018699731,895,NIST,0.04728355160040575,0.11408318915608495,0.6521750602679035,0.013973214740843846,-0.08988440311765802,0.722822570324457
4-Terpineol,562-74-3,1181.9179012143152,1181,standard,0.001867206402960202,0.03685397192814151,0.8845675983287524,-0.04667384344962029,-0.07080773344459823,0.7800951701830376
ɣ-Terpinene,99-85-4,1061.6024645688071,1060,standard,-0.07914608392962307,-0.23936459518595038,0.3387502568484604,-0.026929690610906176,0.06404172164121114,0.8006866910196384
Tetradecanoic acid,544-63-8,1763.8730316931337,1759,standard,0.029004050593172827,0.1726073832333488,0.4934030370509559,-0.06189185625910348,-0.2706347653632463,0.27738741036453574
Tetradecanol,112-72-1,1680.5341216211148,1676,NIST,-0.030538842361749433,-0.044901254460094873,0.8595775200426763,-0.023061264164431078,-0.07454314095201606,0.7687853954433493
trans-α-Bergamotene,13474-59-4,1444.4661452342605,1433,NIST,-0.18522930202371876,-0.6460840855337617,0.003770762345700721,0.008890115137962437,-0.040213892249339134,0.8741197386262213
trans-Linalool oxide (furanoid),5989-33-3,1091.891349601951,1075,NIST,-0.10392966628677527,-0.5134358712619598,0.029308297251627653,-0.10473410757119084,-0.5112783745812873,0.030112689086079322
Undecanal,112-44-7,1309.9828237646175,1305,NIST,-0.003208960797010911,-0.037233909527921896,0.8833852206082096,0.005075459978135159,0.1645883570319261,0.5139933483677077
Vanillin,121-33-5,1407.9596464994997,1403,standard,2.2631399335402313e-4,0.04209946213493078,0.8682650135394712,-0.026095517948086972,-0.15722495443815282,0.5332482180307959
